bond_id;price_dirty;yield;duration
12018;null;null;null
12208;104.541;0.001;0.55
12249;121.391;0.006;5.23
12291;104.683;-0.001;0.96
12305;109.583;-0.001;1
12603;null;null;null
12716;104.757;0;0.36
12730;117.958;0.011;3.15
12745;116.008;0.012;3.26
12764;104.269;0;0.55
12838;104.266;0;0.69
12844;104.635;0.002;0.7
12873;98.692;0.003;3.82
12915;115.221;0.005;3.69
12916;115.558;0.005;3.66
12932;113.182;0.012;3.7
12949;115.495;0.005;3.75
12962;107.847;0.001;0.97
12966;107.491;0;0.98
12976;107.804;0;1.01
13003;119.041;0.005;3.7
13126;117.475;0.005;4.02
13169;116.305;0.003;4.18
13196;113.857;0.007;4.23
13211;118.033;0.024;4.06
13270;118.241;0.006;4.57
13289;103.225;0;0.68
13310;106.443;-0.001;1.69
13425;116.219;0.007;2.88
13465;112.416;0.002;1.98
13556;103.756;0;0.84
13566;103.553;-0.002;0.28
13651;120.3;0.009;5.56
13669;106.193;0.007;0.98
13699;104.15;0.004;0.57
13939;145.406;0.008;null
14254;106.39;0.001;1.64
14309;126.378;0.004;5.75
15428;104.141;0.004;0.57
15598;126.204;0.081;4.28
16181;141.438;0.035;8.93
16230;108.705;0.059;5.28
16271;118.93;0.026;4.07
16296;115.858;0.012;7.54
16298;136.223;0.03;8.97
16388;110.401;0.028;2.04
16393;106.723;0.027;2.66
16399;136.327;0.033;9.43
16400;137.088;0.03;7.64
16451;114.095;0.022;3.28
16452;125.828;0.036;9.55
16543;113.749;0.035;3.6
16562;117.187;0.023;null
16563;121.782;0.039;null
16566;128.333;0.035;8.46
16724;116.075;0.039;18.71
16736;119.636;0.037;20.16
16748;101.42;0.05;0.91
16775;101.001;0.066;1.23
16794;130.388;0.038;19.88
16833;117.117;null;null
16836;114.558;0.027;2.67
16853;110.208;0.032;2.12
16854;116.619;0.019;null
16855;116.266;0.016;2.14
16858;122.635;0.025;2.13
16892;147.64;0.028;6.1
16911;144.373;0.025;15.7
16912;118.45;0.018;null
16935;115.002;0.02;1.06
16982;117.217;0.018;3.16
16983;140.867;0.039;null
16984;142.053;0.035;null
16985;124.531;0.027;null
16986;132.585;0.032;null
17016;112.383;0.02;3.37
17050;114.183;0.027;5.13
17070;135.804;null;null
17110;109.226;0.023;1.08
17136;106.837;0.027;1.33
17142;120.841;0.016;5.62
17143;136.502;0.031;15.48
17149;115.297;0.036;5.56
17159;88.342;0.203;1.42
17181;114.331;0.011;4.34
17183;104.701;0.015;1.65
17223;112.01;0.026;4.5
17224;122.392;0.041;15.13
17277;111.899;0.002;2.11
17286;91.095;0.134;2.09
17306;103.073;-0.001;0.63
17327;117.345;0.032;4.08
17341;104.144;0.004;0.56
17348;117.475;0.033;14.02
17377;125.682;0.032;12.74
17403;123.168;0.03;11.79
17426;132.541;0.031;11.97
17468;104.759;0.006;0.19
17472;118.661;0.011;3.14
17474;127.996;0.013;4.35
17475;133.749;0.036;7.48
17675;115.398;0.005;1.98
18031;18.719;0.071;24.41
18032;16.469;0.071;26.41
18043;14.93;0.072;27.36
18044;14.109;0.071;28.36
18045;13.108;0.072;29.36
18265;123.308;0.01;6.91
18298;122.293;0.025;3.55
18320;17.365;0.071;25.41
18342;102.677;-0.001;0.86
18355;102.66;0;0.86
18366;122.394;0.004;5.75
18522;120.456;0.041;6.47
19054;118.828;0.008;5.94
19184;104.937;0.014;1.11
19196;118.314;0.004;5.64
19296;104.709;0.006;2.68
19297;111.886;0.017;7.31
19324;104.834;0.001;1.23
19325;115.993;0.014;5.62
19391;112.432;0.041;16.9
19392;109.355;0.039;12.81
19397;103.926;-0.001;1.33
19411;105.673;0.036;12.19
19413;108.33;0;3.23
19478;111.528;0.011;5.91
19481;105.034;0.032;10.78
19505;112.138;0.01;5.92
19526;105.738;0.004;1.4
19590;106.955;0.024;9.08
19610;107.533;0.023;9.09
19703;102.899;-0.001;1.57
19747;107.11;0.009;4.35
19754;93.082;0.049;15.51
19755;99.371;0.035;7.49
19758;110.177;0.024;9.78
19824;92.967;0.054;3.43
20094;101.888;0.041;7.4
20137;104.8;0.008;2.18
20138;115.262;0.017;6.43
20507;109.333;0.005;6.51
20711;100.248;null;null
20713;104.06;0.003;2.87
20745;114.378;0.036;13.61
20746;107.208;0.025;5.92
20949;112.549;0.009;6.93
20995;111.653;0.014;6.38
21055;94.938;0.043;6.27
21115;106.094;0.002;3.99
21133;88.761;0.055;4.38
21155;108.107;0.03;3.73
21156;108.068;0.03;3.74
21172;107.323;0.028;13.3
21173;106.059;0.009;3.97
21246;104.773;0.002;4.08
21340;103.34;0.002;2.18
21374;111.513;0.013;6.72
21380;103.922;0.003;2.19
21400;114.704;0.008;8.39
21454;102.213;0.03;10.21
21524;110.975;0.014;6.66
21791;114.084;0.015;6.75
21824;106.277;0.005;2.47
21830;107.191;0.042;6.37
21838;104.535;0;2.54
21844;113.985;0.014;6.82
21894;106.138;0.016;4.33
21897;89.636;0.061;5.05
21898;89.588;0.061;5.06
21902;107.376;0.011;4.37
21940;107.115;0.007;2.98
21954;105.962;0.015;4.38
21955;105.962;0.015;4.38
21986;104.423;0;2.62
21997;104.371;0.006;2.6
22067;107.294;0.006;4.51
22157;105.868;0.055;2.53
